Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
Варшавская,джоус овсяный стаут,0.0,1.5,NEW,0,1181,NEW,-,113%,0,626,NEW
Варшавская,коникс бланш ма шери,0.0,63.0,NEW,0,50908,NEW,-,270%,0,37216,NEW
Варшавская,коникс оверфолл ипа,32.6,59.5,+82.5%,39426,55539,+40.9%,238%,273%,27758,40651,+46.4%
Варшавская,коникс черри руби,30.7,45.8,+49.2%,55813,52380,-6.2%,200%,212%,36800,34538,-6.1%
Варшавская,литовел мораван,28.5,0.0,-100.0%,44241,0,-100.0%,237%,-,31010,0,-100.0%
Варшавская,локал лагер (рыжее),195.4,0.0,-100.0%,170461,0,-100.0%,280%,-,123631,0,-100.0%
Варшавская,монкс кафе,0.0,18.4,NEW,0,28451,NEW,-,153%,0,17122,NEW
Варшавская,нишко лагер,0.0,69.0,NEW,0,65161,NEW,-,213%,0,44476,NEW
Варшавская,палм,13.7,0.0,-100.0%,27839,0,-100.0%,204%,-,18466,0,-100.0%
Варшавская,палм (б),2.5,0.0,-100.0%,5803,0,-100.0%,194%,-,3820,0,-100.0%
Варшавская,радебергер пилснер,29.0,0.0,-100.0%,59747,0,-100.0%,281%,-,43431,0,-100.0%
Варшавская,ригеле файнес урхелль,13.0,0.0,-100.0%,33400,0,-100.0%,235%,-,23213,0,-100.0%
Варшавская,степь и ветер мёд и виноград,9.5,0.0,-100.0%,14621,0,-100.0%,210%,-,9745,0,-100.0%
Варшавская,степь и ветер традиционный,7.9,0.0,-100.0%,9469,0,-100.0%,263%,-,6785,0,-100.0%
Варшавская,стинбрюгге бланш,13.0,0.0,-100.0%,20648,0,-100.0%,198%,-,13608,0,-100.0%
Варшавская,стинбрюгге блонд,2.9,0.0,-100.0%,9008,0,-100.0%,201%,-,5975,0,-100.0%
Варшавская,стинбрюгге браун,2.8,0.0,-100.0%,5193,0,-100.0%,178%,-,3265,0,-100.0%
Варшавская,фестхаус вайцен,0.0,177.6,NEW,0,143647,NEW,-,318%,0,109019,NEW
Варшавская,фестхаус доппельбок,0.0,8.9,NEW,0,9720,NEW,-,212%,0,6605,NEW
Варшавская,фестхаус хеллес,0.0,324.4,NEW,0,262777,NEW,-,308%,0,198841,NEW
Варшавская,*** ВСЕГО ***,646.9,956.2,+47.8%,827113,865842,+4.7%,226%,268%,573395,630794,+10.0%
ИТОГО,alaska фейхоа,0.0,9.1,NEW,0,9359,NEW,-,236%,0,6488,NEW
ИТОГО,alska лесные ягоды,0.0,7.7,NEW,0,9145,NEW,-,303%,0,6850,NEW
ИТОГО,brewlok ipa,8.7,1.4,-83.9%,12378,1267,-89.8%,266%,235%,8922,890,-90.0%
ИТОГО,brewlok stout,40.8,10.8,-73.6%,43696,9300,-78.7%,266%,282%,31327,6852,-78.1%
ИТОГО,brewlok василиса,28.1,18.3,-34.9%,45595,17202,-62.3%,242%,514%,32293,14312,-55.7%
ИТОГО,brewlok лихо одноглазое,0.0,14.1,NEW,0,14242,NEW,-,204%,0,9566,NEW
ИТОГО,dada сидр #2 полусухой,0.0,2.4,NEW,0,2670,NEW,-,207%,0,1794,NEW
ИТОГО,femme fatale rouge,0.0,3.2,NEW,0,4020,NEW,-,203%,0,2655,NEW
ИТОГО,hophead cherry head,0.0,13.8,NEW,0,16422,NEW,-,232%,0,11281,NEW
ИТОГО,konix cassis ruby,15.2,0.0,-100.0%,26353,0,-100.0%,205%,-,17641,0,-100.0%
ИТОГО,konix dortmunder,0.0,4.9,NEW,0,4005,NEW,-,442%,0,3270,NEW
ИТОГО,o`hara`s irish red nitro,7.3,0.0,-100.0%,19634,0,-100.0%,216%,-,13281,0,-100.0%
ИТОГО,o`hara`s pale ale,9.8,0.0,-100.0%,18487,0,-100.0%,192%,-,12292,0,-100.0%
ИТОГО,paradox ghost whales,0.0,13.9,NEW,0,18406,NEW,-,303%,0,13498,NEW
ИТОГО,pilgerstoff weizen,0.0,8.7,NEW,0,10055,NEW,-,241%,0,7101,NEW
ИТОГО,plague brew rusty blob plum,0.0,0.8,NEW,0,1040,NEW,-,215%,0,710,NEW
ИТОГО,plan b old magic,0.0,3.4,NEW,0,3203,NEW,-,166%,0,1966,NEW
ИТОГО,plan b parhelion,0.0,4.5,NEW,0,4025,NEW,-,191%,0,2569,NEW
ИТОГО,plan b wave’s tales anne bonny,0.0,4.2,NEW,0,3922,NEW,-,196%,0,2553,NEW
ИТОГО,pp sumlight geliodor,0.0,16.5,NEW,0,19574,NEW,-,205%,0,13067,NEW
ИТОГО,raspberry porter by paradox,0.0,13.8,NEW,0,15738,NEW,-,237%,0,10977,NEW
ИТОГО,red button matilde,0.0,5.6,NEW,0,12081,NEW,-,142%,0,7023,NEW
ИТОГО,red rocket dipa,0.0,20.1,NEW,0,18528,NEW,-,213%,0,12501,NEW
ИТОГО,red rocket equator,0.0,15.0,NEW,0,17529,NEW,-,211%,0,11899,NEW
ИТОГО,selfmade tomato method,0.0,8.2,NEW,0,10261,NEW,-,300%,0,7762,NEW
ИТОГО,st. anton plum cider,0.0,26.2,NEW,0,23481,NEW,-,279%,0,17216,NEW
ИТОГО,starlingtons moonlight,0.0,11.9,NEW,0,15614,NEW,-,242%,0,10973,NEW
ИТОГО,steppe & wind meadery strawberry mead,0.0,10.9,NEW,0,8758,NEW,-,230%,0,6131,NEW
ИТОГО,true hops ipa,15.6,0.0,-100.0%,22103,0,-100.0%,185%,-,14240,0,-100.0%
ИТОГО,velka morava frothy froh,0.0,16.9,NEW,0,14806,NEW,-,309%,0,11111,NEW
ИТОГО,velka morava пятипитие,0.0,76.2,NEW,0,71278,NEW,-,266%,0,51589,NEW
ИТОГО,weissmuller,37.0,0.0,-100.0%,52768,0,-100.0%,202%,-,34949,0,-100.0%
ИТОГО,weissmuller original helles,3.4,0.0,-100.0%,8920,0,-100.0%,221%,-,6101,0,-100.0%
ИТОГО,айингер октобер фест-марцен,0.0,22.4,NEW,0,32463,NEW,-,162%,0,19919,NEW
ИТОГО,астролагер премиум пилс,14.6,0.0,-100.0%,21765,0,-100.0%,231%,-,15208,0,-100.0%
ИТОГО,барбе руби,0.0,39.0,NEW,0,71315,NEW,-,146%,0,42326,NEW
ИТОГО,бланш де намур,0.0,22.7,NEW,0,29050,NEW,-,172%,0,18268,NEW
ИТОГО,бланш де неж,2.6,0.0,-100.0%,3753,0,-100.0%,191%,-,2479,0,-100.0%
ИТОГО,блек шип,0.0,21.7,NEW,0,18277,NEW,-,173%,0,11767,NEW
ИТОГО,борнем блонд,5.1,0.0,-100.0%,15180,0,-100.0%,207%,-,10201,0,-100.0%
ИТОГО,бульви квинси,1.0,0.0,-100.0%,925,0,-100.0%,227%,-,642,0,-100.0%
ИТОГО,бульви семи драй,0.0,8.1,NEW,0,7742,NEW,-,220%,0,5312,NEW
ИТОГО,бургунь де фландер,0.0,22.4,NEW,0,40721,NEW,-,185%,0,26394,NEW
ИТОГО,бюльви рустик полусухой,0.0,0.2,NEW,0,260,NEW,-,250%,0,186,NEW
ИТОГО,василеостровское пшеничное,100.4,0.0,-100.0%,97672,0,-100.0%,232%,-,67674,0,-100.0%
ИТОГО,васька бланш де лютин,19.8,0.0,-100.0%,26781,0,-100.0%,234%,-,18683,0,-100.0%
ИТОГО,вита сид том 2,16.3,0.0,-100.0%,26494,0,-100.0%,377%,-,20898,0,-100.0%
ИТОГО,во brewlok ipa,14.9,0.0,-100.0%,23709,0,-100.0%,287%,-,17412,0,-100.0%
ИТОГО,во brewlok баба яга,8.7,0.0,-100.0%,13693,0,-100.0%,220%,-,9485,0,-100.0%
ИТОГО,во o`hara`s irish stout,10.6,0.0,-100.0%,25777,0,-100.0%,197%,-,17031,0,-100.0%
